target_col,experiment_name,val/mae,val/mse,val/r2_score,test/mae,test/mse,test/r2_score
Observed_m_z,chemberta_adduct,'0.0256,'0.0013,'0.9677,'0.0312,'0.0013,'0.9662
Observed_m_z,pubchem_without_adduct,'0.0303,'0.0014,'0.9676,'0.0384,'0.0023,'0.9392
Observed_m_z,pubchem_adduct,'0.0300,'0.0020,'0.9596,'0.0477,'0.0033,'0.9107
Observed_m_z,chemberta_without_adduct,'0.0316,'0.0018,'0.9519,'0.0272,'0.0015,'0.9603
Observed_m_z,molt5_large_adduct,'0.0266,'0.0019,'0.9516,'0.0141,'0.0005,'0.9868
Observed_m_z,molt5_large_without_adduct,'0.0318,'0.0018,'0.9486,'0.0136,'0.0006,'0.9843
Observed_m_z,ecfp6_without_adduct,'0.0353,'0.0028,'0.9305,'0.0269,'0.0010,'0.9721
Observed_m_z,selformer_adduct,'0.0400,'0.0030,'0.9258,'0.0373,'0.0018,'0.9509
Observed_m_z,ecfp6_adduct,'0.0346,'0.0028,'0.9257,'0.0478,'0.0041,'0.8896
Observed_m_z,fcfp6_without_adduct,'0.0409,'0.0029,'0.9231,'0.0465,'0.0035,'0.9059
Observed_m_z,selformer_without_adduct,'0.0417,'0.0032,'0.9226,'0.0472,'0.0038,'0.8994
Observed_m_z,ecfp4_without_adduct,'0.0455,'0.0035,'0.9111,'0.0575,'0.0048,'0.8707
Observed_m_z,fcfp6_adduct,'0.0452,'0.0035,'0.9103,'0.0467,'0.0037,'0.9009
Observed_m_z,ecfp4_adduct,'0.0450,'0.0035,'0.9079,'0.0558,'0.0043,'0.8838
Observed_m_z,rdkit_without_adduct,'0.0496,'0.0039,'0.9004,'0.0630,'0.0064,'0.8276
Observed_m_z,rdkit_adduct,'0.0519,'0.0043,'0.8882,'0.0578,'0.0055,'0.8528
Observed_m_z,fcfp4_without_adduct,'0.0513,'0.0043,'0.8824,'0.0601,'0.0066,'0.8228
Observed_m_z,fcfp4_adduct,'0.0557,'0.0047,'0.8792,'0.0555,'0.0058,'0.8456
Observed_m_z,avalon_adduct,'0.0675,'0.0078,'0.8072,'0.1613,'0.0318,'0.1469
Observed_m_z,avalon_without_adduct,'0.0686,'0.0081,'0.8071,'0.0695,'0.0072,'0.8066
Observed_m_z,hybridization_without_adduct,'0.0989,'0.0153,'0.6303,'0.1041,'0.0134,'0.6421
Observed_m_z,fp2_adduct,'0.0973,'0.0150,'0.6283,'0.0935,'0.0140,'0.6238
Observed_m_z,extended_without_adduct,'0.0962,'0.0158,'0.6260,'0.0933,'0.0117,'0.6877
Observed_m_z,extended_adduct,'0.0941,'0.0157,'0.6209,'0.0816,'0.0116,'0.6905
Observed_m_z,fp2_without_adduct,'0.0977,'0.0155,'0.6196,'0.0954,'0.0122,'0.6738
Observed_m_z,standard_without_adduct,'0.0971,'0.0164,'0.6103,'0.0891,'0.0114,'0.6946
Observed_m_z,hybridization_adduct,'0.1012,'0.0172,'0.5955,'0.0692,'0.0122,'0.6719
Observed_m_z,standard_adduct,'0.0970,'0.0172,'0.5941,'0.0691,'0.0109,'0.7071
