Observed Retention time,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
19.09,[M-H+HCOOH]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209507,0.03973750461405626,0.032772264665147786,-0.21085632178847444,0.06287373972645029,-0.03667820259441749,-0.07144806887168072,-0.12747190015200863,-0.02227214119799332,0.028697306379867477,0.014373291690319933,-0.12423987382768689,-0.05366330741513803,-0.016927006614489856,-0.06286802577261047,0.002824014309090736,0.0035952045915746095,-0.001835498592854338,0.006645068452400548,0.02847948126956722,0.004332458829328713,-0.013691533062033627,8.574686975784632e-17,-1.1485368558506965e-16,-3.1719296724381137e-19,1.7382858026848577e-18,-4.027166976478436e-17,-5.160712829024521e-18
20.46,[M-H+HCOOH]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209506,0.03973750461405625,0.03277226466514777,-0.21085632178847438,0.0628737397264504,-0.03667820259441743,-0.07144806887168066,-0.12747190015200802,-0.022272141197993242,0.028697306379867487,0.014373291690319971,-0.12423987382768681,-0.053663307415138084,-0.016927006614489995,-0.06286802577261048,0.0028240143090908065,0.003595204591574536,-0.0018354985928543143,0.006645068452400497,0.028479481269567203,0.00433245882932892,-0.013691533062033646,8.574686975785113e-17,-1.1485368558506974e-16,-3.171929672400766e-19,1.7382858026802813e-18,-4.0271669764759934e-17,-5.160712829052488e-18
50.04,[M-H]-,1.917293238736389,0.2351530437760473,-0.49556953867124914,0.8869593602596474,-0.268292627414544,-0.7166185327277159,0.0811702743739348,0.21316175469410417,-0.40480764919349527,0.3473808216862425,0.016866147031061707,-0.7161499654142577,-0.13983537200600119,-0.4033493650268283,-0.15991479577861906,0.4113613621910966,0.13479052171046021,0.15019114795471528,0.2701167924252433,0.11063707509635269,-0.0009753641764642675,0.03706663204765798,-0.023768031389836807,-0.015697932790745366,-0.010658993066215032,-0.009419141957065703,-6.36651337559396e-17,-1.666739794767188e-16,-5.618409518284668e-17,-2.3919297894152434e-16,1.394611882913392e-17,7.482927425997558e-17
14.4,[M-H]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209507,0.03973750461405624,0.03277226466514777,-0.21085632178847433,0.06287373972645045,-0.03667820259441741,-0.07144806887168062,-0.12747190015200832,-0.0222721411979932,0.02869730637986771,0.014373291690319803,-0.12423987382768688,-0.053663307415138035,-0.01692700661448999,-0.06286802577261044,0.002824014309090869,0.0035952045915745605,-0.00183549859285423,0.006645068452400554,0.02847948126956733,0.0043324588293289544,-0.01369153306203364,8.574686975784963e-17,-1.148536855850699e-16,-3.1719296723842993e-19,1.738285802682574e-18,-4.0271669764753414e-17,-5.1607128290628325e-18
50.83,[M-H+HCOOH]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209507,0.03973750461405624,0.03277226466514777,-0.21085632178847433,0.06287373972645045,-0.03667820259441741,-0.07144806887168062,-0.12747190015200832,-0.02227214119799322,0.02869730637986746,0.014373291690319825,-0.1242398738276868,-0.05366330741513825,-0.016927006614490016,-0.06286802577261055,0.0028240143090907917,0.003595204591574601,-0.0018354985928542944,0.006645068452400486,0.02847948126956727,0.004332458829328922,-0.013691533062033648,8.574686975785585e-17,-1.148536855850661e-16,-3.171929672498461e-19,1.7382858026723157e-18,-4.0271669764744533e-17,-5.1607128290681365e-18
19.44,[M-H+HCOOH]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209507,0.03973750461405624,0.03277226466514777,-0.21085632178847433,0.06287373972645045,-0.03667820259441741,-0.07144806887168062,-0.12747190015200832,-0.02227214119799322,0.02869730637986749,0.014373291690319936,-0.12423987382768685,-0.053663307415138056,-0.016927006614489933,-0.06286802577261047,0.002824014309090695,0.003595204591574587,-0.001835498592854412,0.006645068452400548,0.02847948126956725,0.004332458829328826,-0.013691533062033634,8.574686975784966e-17,-1.1485368558506775e-16,-3.171929672459151e-19,1.7382858026749396e-18,-4.027166976476768e-17,-5.160712829047647e-18
14.9,[M-H+HCOOH]-,-1.3948934433405298,-1.7323232546213951,2.5148103344397525,1.2630485100868547,-0.14881749973105843,-0.5349270930966715,-0.09000153025803506,-0.33617172723285665,0.29269963081135036,0.23162350369910953,0.09455048934651065,-0.11433252265521791,0.16872010624197617,-0.09093888132424703,-0.066681963420925,0.12331190472527508,-0.22059333302151649,-0.04256307603082029,0.015430367113305666,-0.3059075601954146,0.08254457849821373,0.04800388968064223,-0.08381377063742564,0.08974161298793099,-0.010153100624780786,-0.004793979926718998,8.175203135074339e-17,-1.0661803457491631e-16,-5.912934016431114e-17,-6.534553929360883e-17,9.559605186409662e-17,-8.354296197344842e-17
17.81,[M-H]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209507,0.03973750461405624,0.03277226466514777,-0.21085632178847433,0.06287373972645045,-0.03667820259441741,-0.07144806887168062,-0.12747190015200832,-0.02227214119799322,0.028697306379867518,0.014373291690319936,-0.1242398738276868,-0.053663307415138195,-0.01692700661449011,-0.06286802577261057,0.002824014309090776,0.00359520459157452,-0.0018354985928542606,0.0066450684524005914,0.028479481269567248,0.004332458829328879,-0.013691533062033646,8.574686975785463e-17,-1.1485368558506686e-16,-3.171929672440136e-19,1.738285802687092e-18,-4.027166976474741e-17,-5.160712829074552e-18
45.71,[M-H+HCOOH]-,-0.6771358519195626,0.214532354577594,0.5889377267555014,-0.3615754373713668,0.1774698244772449,-0.5899719818022556,-0.2770299929471169,0.23065898992923659,-1.9878124371512012,-0.6685716678646191,0.5441435565947464,0.49060876660084146,0.014241446098187662,0.16050535105742733,0.12184309551637701,-0.10837028377603597,-0.12629080086913322,-0.032263398797510084,-0.03197333671314201,-0.03644110458515692,-0.051177541230497975,-0.04954381819042277,-0.00017615994201751123,0.012400974631853351,0.009041473186062982,0.013576351325587939,1.301416171091737e-16,-7.226223132149296e-17,3.349445143278941e-17,-3.6678150604033373e-16,9.836897461412208e-17,9.026129250296562e-17
39.89,[M-H+HCOOH]-,2.0526697949538244,0.4855470167619674,-0.44412370419623853,0.8679387862193421,-0.05348693742485304,-0.5719871039664924,0.027301707931327697,0.03801389133579139,-0.04463488030950944,0.012300393836024734,-0.15028402019524262,-0.8612705288450971,-0.08167186515811728,0.0715621249192984,0.0741979364395772,0.13166731223423314,-0.0001280388334068248,-0.07254707890591217,-0.00910502972157923,0.09717891918305144,0.09493766601554257,0.10958928480094407,-0.0037808183155614555,0.007872204239414881,-0.012975426656137084,-0.040800702484407966,-2.0196791485528762e-16,-2.7917265634045624e-16,9.948237319766895e-17,-9.596583208892858e-17,5.214618253528476e-17,-4.217789008108524e-17
