Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
521.3857,[M-H+HCOOH]-,-22.498086853515805,-0.731873596025405,1.3151915649280388,-1.3740380628650257,-0.17534126831662325,-0.3792003819113065,-0.570151426133567,-0.08172469997409174,-0.626056679994395,0.44768250973284857,-0.04823880600471075,-0.32718147425633565,0.2891927483579243,-0.17721604403096863,0.12468921929074514,0.28201429483674
1325.6394,[M-H]-,-21.500963252234826,0.08397978460025908,-0.4839387575388183,0.5380074086843545,-0.5138000394440391,-0.047709602527618605,-0.0850511206754982,0.03697301214157487,-0.17499033663991656,0.20487019589809913,0.05348617349079061,0.00151400298516627,-0.005987508017512674,0.08765875990768549,-0.14790181235659444,0.015836766243640946
1137.5745,[M-H+HCOOH]-,-20.499834012605618,2.2556468391213778,0.049983362067685055,0.14487441134942142,-0.11322891496394995,-0.07026140749279758,-0.320076709688945,-0.28606076543283326,-0.1407776642330656,0.15781904137968697,-0.18895019631228796,0.151060824403084,-0.1867094723736392,-0.06985816617918354,0.11780898989034043,-0.12865910491034638
725.4475,[M-H+HCOOH]-,-19.50021871165021,-0.37301548735615964,-0.008527709656565276,-0.8275781957377638,-0.448136370778912,-0.17735674677580088,0.06233722082503518,0.8235475867535232,-0.1362206063396587,-0.14226593688892195,0.14978515550195667,-0.3490333019536306,-0.6439821683154515,0.35256310749404024,0.433652737607742,0.060359011705392374
887.5001,[M-H+HCOOH]-,-18.50070212499806,-0.09533190039654593,-0.7463984322830414,-0.566410570419115,0.33234726564007744,-0.5333091506879161,0.3890675385269567,-0.42974629146664184,0.10599920147385523,0.06393255915535305,-0.07369580258668683,-0.03592004546607208,-0.2526009683515494,-0.062126543864224115,-0.08689306997147313,0.18956457345247865
799.4844,[M-H]-,-17.498871270608984,-0.6733019613400933,0.44451897862947487,0.5449491675568195,0.6386375746622072,0.0928536138933005,0.2266395044744782,0.21157417140878704,-0.31628452418733033,-0.012287424307849005,-0.15383337022744117,-0.07883484035838477,-0.08931645631544465,-0.14225588962724692,0.04228963027132411,0.019148370129905976
829.4962,[M-H+HCOOH]-,-16.49853451858312,-0.7280242933706431,0.4830667490941915,0.13554364381782,0.5579726724879044,0.1680676880177612,-0.4166766574561187,0.26846520386793243,0.1401669941439761,0.032461317165095475,-0.204812057788064,-0.1004429526131767,-0.06674872157918793,-0.14386231855445625,0.14009996708532155,-0.03159382216596595
1255.6319,[M-H+HCOOH]-,-15.500567543107493,-0.14681275336080551,-0.13276015701089447,0.7478477780272065,-0.12533524069984311,-0.0020936411576952052,-0.15755906808459927,-0.06632114131177468,-0.004972909998560103,0.03947385291981418,0.05865808462769096,-0.10616152318580442,0.009550405254664773,-0.0191528188498046,-0.012629740912697453,0.09195932375657916
649.4339,[M-H+HCOOH]-,-14.499234896273927,-0.7183677478995057,0.7265396296465194,-1.0307400918895993,0.06381389613190289,0.1128725932589863,-0.9408891180444133,0.26021835380904534,0.41814500360592466,0.21791970789601037,-0.09962438160235472,0.20630595162634,0.13148913090305853,0.32843309271296534,-0.3591285420995698,-0.12261609022940753
829.4942,[M-H+HCOOH]-,-13.499354214982137,-0.796990865243575,0.6399944668229468,-0.1693897429677405,-0.10456545081376441,0.12055756871267506,-0.03413077133474485,-0.04833853697149007,0.2390539324833201,-0.13669236462557516,-0.05970102508940407,0.12569818329472712,-0.06415305051980365,-0.07724836137430198,-0.07041090889432697,-0.20656528795631965
